"#","ML #","Address","Condo Fee Includes","St","Original List Price","List Price","Current Price","Condo Fee","RMS Total","Beds","Full Baths","Style","Rooms Above Grade","Half Baths","Ensuite YN","Year Built","# FP","DOM","Stat Date","City"
"501","A2084658","137 Red Embers Link NE Unit#133","Common Area Maintenance, Professional Management, Snow Removal, Trash","S","$424,900","$424,900.00","$435,000.00","$222.13","1,161","3","2","2 Storey","6","1","Yes","2021","0","8","10/09/2023","Calgary"
"501","A2082803","130 New Brighton Way SE Unit#476","Amenities of HOA/Condo, Maintenance Grounds, Professional Management, Reserve Fund Contributions","S","$425,000","$425,000.00","$435,000.00","$369.39","1,214","3","2","2 Storey","6","1","Yes","2012","0","11","10/03/2023","Calgary"
"501","A2080193","125 Redstone Crescent NE","Common Area Maintenance, Professional Management, Reserve Fund Contributions, Snow Removal","S","$449,900","$449,900.00","$435,000.00","$308.00","1,197","4","3","2 Storey","6","1","Yes","2017","0","30","10/12/2023","Calgary"
"501","A2074459","129 Copperpond Landing SE","Common Area Maintenance, Maintenance Grounds, Reserve Fund Contributions","S","$421,000","$421,000.00","$435,000.00","$274.08","1,104","2","2","2 Storey","5","1","Yes","2013","1","12","08/31/2023","Calgary"
"501","A2074189","227 Panatella Walk NW","Amenities of HOA/Condo, Common Area Maintenance, Insurance, Parking, Professional Management, Snow Removal, Trash","S","$409,800","$409,800.00","$435,000.00","$289.12","1,224","3","2","2 Storey","7","1","Yes","2014","0","7","08/24/2023","Calgary"
"501","A2072235","111 Hidden Creek Gardens NW","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Trash","S","$439,500","$439,500.00","$435,000.00","$444.03","1,490","2","2","2 Storey","6","1","Yes","2001","1","30","09/09/2023","Calgary"
"501","A2071048","193 Citadel Point NW","Amenities of HOA/Condo, Common Area Maintenance, Insurance, Parking, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$399,900","$399,900.00","$435,000.00","$433.50","1,294","3","2","2 Storey","7","1","Yes","2003","0","4","08/08/2023","Calgary"
"501","A2070336","805 Skyview Ranch Grove NE","Common Area Maintenance, Insurance, Professional Management, Snow Removal, Trash","S","$399,900","$449,900.00","$435,000.00","$282.00","1,456","3","2","3 Storey","7","1","Yes","2014","0","23","08/25/2023","Calgary"
"501","A2069018","59 Sherwood Row NW","Amenities of HOA/Condo, Common Area Maintenance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$429,900","$429,900.00","$435,000.00","$298.43","1,129","2","2","3 Storey","7","1","Yes","2015","0","5","08/15/2023","Calgary"
"501","A2068685","19500 37 Street SE Unit#304","Common Area Maintenance, Professional Management, Reserve Fund Contributions, Snow Removal","S","$459,900","$449,900.00","$435,000.00","$370.92","1,365","3","2","3 Storey","7","1","Yes","2018","0","35","08/31/2023","Calgary"
